,Latitude,Longitude,Total Capacity (MW),Annual,,First Yr Annual (MWh)
1625,44.46,-81.14,0.005,4.75,,6.54
1431,42.96,-80.05,0.005,4.2,,6.85
3507,46.91,-53.53,0.005,3.37,,5.59
3297,48.56,-67.68,0.005,4.14,,6.3
3578,52.81,-112.06,0.005,4.69,,6.17
2600,45.47,-75.52,0.005,4.38,,6.79
1618,43.2,-80.69,0.005,4.17,,6.78
1985,43.84,-79.08,0.005,3.93,,7.02
1817,45.21,-72.51,0.005,4.18,,6.43
497,45.2,-64.09,0.005,4.17,,6.59
3222,46.73,-70.36,0.005,4.08,,6.46
1215,44.24,-77.43,0.005,4.37,,7
1382,45.25,-74.59,0.005,4.36,,6.85
3477,47.87,-55.84,0.005,3.34,,5.91
2862,45.31,-77.37,0.005,4.37,,6.84
2018,44.23,-81.6,0.005,4.24,,6.8
2021,46.61,-71.93,0.005,4.21,,6.72
1031,47.73,-80.33,0.005,4.28,,6.55
1131,54.54,-114.09,0.005,4.42,,5.84
2368,46.05,-66.5,0.005,4.19,,6.83
394,49.84,-99.95,0.005,4.9,,6.83
2802,42.65,-82.5,0.005,4.38,,7.08
3378,51.36,-100.14,0.005,4.73,,6.58
3223,46.41,-73.03,0.005,4.31,,6.68
1177,52.58,-112.06,0.005,4.72,,6.17
1471,51.73,-107.58,0.005,4.93,,6.46
3564,49.38,-101.6,0.005,4.99,,6.95
3760,44.14,-79.18,0.005,4.25,,6.77
3611,54.71,-115.4,0.005,4.3,,5.9
313,46.06,-81.77,0.005,4.14,,7.07
2508,47.8,-58.32,0.005,4.25,,5.54
289,45.04,-64.73,0.005,4.2,,6.53
354,44.54,-78.55,0.005,4.3,,6.95
769,49.28,-122.79,0.005,3.56,,5.54
3181,47.43,-68.38,0.005,4.37,,6.46
3999,45.01,-64.74,0.005,4.45,,6.44
2906,51.01,-57.01,0.005,3.43,,5.51
3339,50.72,-122.21,0.005,4.11,,6.43
3114,46.6,-70.86,0.005,4.14,,6.47
247,44.72,-63.66,0.005,3.94,,6.64
863,52.63,-94.07,0.005,3.47,,6.52
2424,49.32,-100.84,0.005,5,,6.79
1299,54.25,-111.16,0.005,4.52,,5.91
3987,46.33,-66.78,0.005,4.36,,6.72
615,49.78,-74.85,0.005,4.18,,6.12
1010,43.57,-80.14,0.005,4.17,,6.83
3491,43.24,-80.25,0.005,4.11,,6.83
3626,44.8,-62.69,0.005,3.83,,6.68
4042,46.15,-67.59,0.005,4.19,,6.59
1035,49.3,-115.11,0.005,4.49,,6.12
260,52.38,-126.75,0.005,3.33,,5.09
1357,46.29,-64.56,0.005,4.19,,6.5
2104,45.68,-67.03,0.005,4.16,,6.78
2698,49.98,-109.11,0.005,4.96,,6.65
1046,44.22,-76.62,0.005,4.14,,6.93
719,51.2,-114.46,0.005,4.63,,6.62
261,42.29,-82.7,0.005,4.41,,7.2
1773,55.1,-128.06,0.005,3.39,,4.99
3510,45.42,-62.57,0.005,3.38,,6.3
2351,49.19,-98.1,0.005,4.8,,6.88
2987,54.37,-113.46,0.005,4.47,,5.92
1863,49.67,-96.82,0.005,4.65,,6.77
133,44.63,-75.94,0.005,4.37,,6.95
1096,48.24,-79.13,0.005,4.25,,6.6
72,50.59,-98.73,0.005,4.74,,6.8
992,49.51,-108.81,0.005,4.98,,7.01
2235,49.39,-103.41,0.005,5.03,,7.05
1224,54.06,-124.84,0.005,3.72,,5.77
1670,46.55,-67.22,0.005,4.15,,6.61
2341,43.76,-80.74,0.005,4.14,,6.62
3391,55.28,-114.77,0.005,4.37,,5.85
3695,44.74,-75.99,0.005,4.38,,6.84
3332,48.38,-77.23,0.005,4.22,,6.37
3271,50.55,-98.64,0.005,4.74,,6.49
1709,46.43,-63.63,0.005,4.09,,6.34
2359,44.89,-75.18,0.005,4.36,,6.73
4018,51.31,-107.65,0.005,4.95,,6.46
3157,47.73,-69.99,0.005,4.15,,6.6
2933,45.66,-72.15,0.005,3.75,,6.48
1443,50.18,-100.59,0.005,4.9,,6.93
3884,44.32,-64.68,0.005,4.16,,6.6
2605,45.38,-79.77,0.005,4.18,,6.78
1125,45.28,-72.98,0.005,4.26,,6.65
546,44.79,-75.38,0.005,4.36,,6.83
3485,46.92,-54.17,0.005,3.42,,5.61
674,43.65,-80.05,0.005,4.09,,6.79
1964,52.06,-103.24,0.005,4.71,,6.37
3683,44.66,-63.74,0.005,3.93,,6.67
2331,47.24,-84.64,0.005,4.13,,6.59
2227,50.11,-120.78,0.005,4.16,,6.83
3890,46.26,-67.58,0.005,4.19,,6.49
2722,51.62,-56.71,0.005,3.48,,5.47
2587,53.54,-113.52,0.005,4.14,,6.33
1172,49.47,-111.44,0.005,4.96,,6.95
1194,50.8,-103.81,0.005,4.9,,6.61
1997,49.84,-98.47,0.005,4.78,,6.8
68,49.1,-97.55,0.005,4.77,,6.73
3305,50.33,-110.1,0.005,4.97,,6.92
3925,45.45,-66.34,0.005,4.15,,6.76
411,50.83,-116.26,0.005,4.4,,6.28
188,54.12,-114.4,0.005,4.43,,5.86
1483,45.73,-67,0.005,4.17,,6.74
3570,46.21,-63.08,0.005,4.17,,6.08
1922,49.48,-55.42,0.005,3.52,,5.75
1949,47.08,-55.21,0.005,3.4,,5.68
3979,46.49,-67.59,0.005,4.18,,6.39
947,47.03,-67.68,0.005,4.16,,6.46
1149,49.19,-105.73,0.005,5.03,,6.7
36,48.31,-67.36,0.005,4.71,,6.26
3039,45.3,-75.31,0.005,4.82,,6.93
1657,45.69,-64.44,0.005,4.09,,6.42
3995,54.06,-122.46,0.005,3.84,,5.88
1028,49.06,-122.81,0.005,4.95,,6.12
283,52.36,-97.02,0.005,4.51,,6.38
2844,53.21,-105.71,0.005,4.75,,6.2
1410,43.18,-79.57,0.005,4.22,,6.96
2959,50.03,-100.23,0.005,4.91,,6.87
3527,45.01,-71.79,0.005,4.13,,6.35
921,55.72,-117.1,0.005,4.35,,5.75
1278,49.68,-124.48,0.005,3.76,,6.09
3512,45.65,-60.87,0.005,3.78,,6.33
1106,44.65,-63.64,0.005,4.34,,6.58
2632,45.61,-75.01,0.005,4.36,,6.86
2742,50.38,-99.08,0.005,4.78,,6.89
759,51.52,-107.24,0.005,4.95,,6.47
832,49.55,-99.08,0.005,4.85,,6.9
2165,47.93,-80.64,0.005,4.27,,6.55
750,45.36,-77.62,0.005,4.36,,6.98
1791,45.95,-70.93,0.005,4.16,,6.54
1780,58.1,-68.4,0.005,3.77,,4.6
2045,49.58,-114.16,0.005,4.63,,6.97
2859,45.85,-63.66,0.005,4.08,,6.62
1220,44.2,-77.59,0.005,4.36,,7.07
3537,44.39,-80.07,0.005,4.2,,6.8
1572,52.33,-121.41,0.005,4.07,,5.95
2544,47.6,-79.48,0.005,4.29,,6.6
404,42.81,-82.28,0.005,4.34,,6.94
1714,49.98,-100.61,0.005,4.93,,6.99
835,45.56,-63,0.005,4.24,,6.4
2194,50.51,-104.06,0.005,4.92,,6.78
3123,48.9,-67.33,0.005,4.17,,6.33
3885,45.35,-72.51,0.005,4.16,,6.53
472,53.94,-113.89,0.005,4.48,,6.02
1387,46.47,-67.68,0.005,3.95,,6.43
1867,49.78,-124.35,0.005,3.69,,5.78
102,44.72,-76.92,0.005,4.37,,6.97
3088,45.1,-73.76,0.005,4.36,,6.69
1280,54.99,-129.95,0.005,2.98,,4.48
2814,42.62,-80.45,0.005,4.2,,6.68
712,45.62,-76.88,0.005,4.4,,6.83
3967,54.14,-115.68,0.005,4.35,,6.07
2953,46.58,-80.18,0.005,4.29,,6.79
1180,42.69,-80.38,0.005,4.11,,6.63
3175,45.61,-72.95,0.005,4.3,,6.63
3746,56.53,-76.55,0.005,3.92,,4.84
2755,48.07,-66.54,0.005,4.23,,6.26
491,51.04,-114.05,0.005,4.72,,6.88
3738,43.85,-65.97,0.005,4,,6.66
169,50.8,-103.54,0.005,4.89,,6.68
3257,46.19,-65.97,0.005,4.23,,6.81
1267,46.18,-62.53,0.005,4.2,,6.1
1055,46.45,-65.12,0.005,4.76,,6.67
265,47.52,-55.41,0.005,3.33,,5.81
1468,48.85,-54.03,0.005,3.5,,5.63
2116,45.39,-74.16,0.005,3.55,,7.02
1645,47.91,-66,0.005,4.27,,6.58
1635,47.36,-68.26,0.005,4.36,,6.51
3139,45.25,-73.8,0.005,4.36,,6.77
2799,44.02,-78.38,0.005,4.31,,7.02
677,49.11,-68.4,0.005,4.16,,6.33
2313,50.19,-66.08,0.005,4.09,,6.28
1672,48.4,-89.61,0.005,4.48,,6.83
