,Actual,Prediction,% Diff
1684,6.06,5.502222222,0.101373183
2857,6.06,6.031111111,0.004789978
2858,6.06,6.031111111,0.004789978
3439,6.06,6.276666667,0.034519384
3440,6.06,6.276666667,0.034519384
619,6.07,6.002222222,0.011292114
620,6.07,6.002222222,0.011292114
729,6.07,6.047777778,0.003674444
730,6.07,6.047777778,0.003674444
1019,6.07,6.64,0.085843373
1020,6.07,6.64,0.085843373
2791,6.07,6.053333333,0.002753304
2792,6.07,6.053333333,0.002753304
2879,6.07,6.181111111,0.017975912
2880,6.07,6.181111111,0.017975912
3847,6.07,6.035555556,0.005706922
3848,6.07,6.035555556,0.005706922
475,6.08,6.178888889,0.016004316
476,6.08,6.178888889,0.016004316
479,6.08,6.178888889,0.016004316
480,6.08,6.178888889,0.016004316
2629,6.08,6.086666667,0.00109529
2630,6.08,6.086666667,0.00109529
3053,6.08,6.251111111,0.027372911
3054,6.08,6.251111111,0.027372911
3721,6.08,6.232222222,0.024425031
3722,6.08,6.232222222,0.024425031
3937,6.08,6.257777778,0.028409091
3938,6.08,6.257777778,0.028409091
519,6.09,6.262222222,0.027501774
520,6.09,6.262222222,0.027501774
529,6.09,6.202222222,0.018093873
530,6.09,6.202222222,0.018093873
1431,6.09,6.018888889,0.011814658
1432,6.09,6.018888889,0.011814658
1503,6.09,6.146666667,0.009219089
1504,6.09,6.146666667,0.009219089
2805,6.09,6.197777778,0.017389745
2806,6.09,6.197777778,0.017389745
2869,6.09,6.235555556,0.023342837
2870,6.09,6.235555556,0.023342837
2929,6.09,5.97,0.020100503
2930,6.09,5.97,0.020100503
133,6.1,6.096666667,0.000546747
134,6.1,6.096666667,0.000546747
1647,6.1,6.014444444,0.014225014
1648,6.1,6.014444444,0.014225014
2071,6.1,6.25,0.024
2072,6.1,6.25,0.024
2717,6.1,6.036666667,0.010491441
2718,6.1,6.036666667,0.010491441
3769,6.1,6.013333333,0.014412417
3770,6.1,6.013333333,0.014412417
33,6.11,6.091111111,0.003101058
34,6.11,6.091111111,0.003101058
125,6.11,6.16,0.008116883
126,6.11,6.16,0.008116883
153,6.11,6.264444444,0.024654133
154,6.11,6.264444444,0.024654133
167,6.11,6.158888889,0.00793794
168,6.11,6.158888889,0.00793794
215,6.11,6.074444444,0.005853302
216,6.11,6.074444444,0.005853302
551,6.11,6.35,0.037795276
552,6.11,6.35,0.037795276
605,6.11,6.365555556,0.040146622
606,6.11,6.365555556,0.040146622
1181,6.11,6.167777778,0.009367681
1182,6.11,6.167777778,0.009367681
2947,6.11,6.154444444,0.00722152
2948,6.11,6.154444444,0.00722152
3255,6.11,6.098888889,0.001821825
3256,6.11,6.098888889,0.001821825
3297,6.11,6.093333333,0.00273523
3298,6.11,6.093333333,0.00273523
3845,6.11,5.927777778,0.030740394
3846,6.11,5.927777778,0.030740394
915,6.12,6.285555556,0.026339049
916,6.12,6.285555556,0.026339049
1963,6.12,6.207777778,0.014139968
1964,6.12,6.207777778,0.014139968
1971,6.12,6.16,0.006493506
1972,6.12,6.16,0.006493506
2231,6.12,6.25,0.0208
2232,6.12,6.25,0.0208
2673,6.12,6.071111111,0.008052709
2674,6.12,6.071111111,0.008052709
3545,6.12,6.2,0.012903226
3546,6.12,6.2,0.012903226
3837,6.12,5.917777778,0.034171986
3838,6.12,5.917777778,0.034171986
331,6.13,6.127777778,0.000362647
332,6.13,6.127777778,0.000362647
369,6.13,6.033333333,0.016022099
370,6.13,6.033333333,0.016022099
783,6.13,6.241111111,0.017803098
784,6.13,6.241111111,0.017803098
